candidate,state,offices_json,source_note
Michelle Steel,CA,"[[""Orange County Board of Supervisors"", 2015, 2021], [""California Board of Equalization"", 2007, 2015]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Sara Jacobs,CA,[],Stage 3 hardcode (public bio record); leak-free tenure dates
"Robert G. ""Bob"" Good",VA,"[[""Campbell County Board of Supervisors"", 2016, 2020]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Mike Garcia,CA,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Marilyn Strickland,WA,"[[""Mayor of Tacoma"", 2010, 2018], [""Tacoma City Council"", 2008, 2010]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Jared Polis,CO,"[[""U.S. House Colorado"", 2009, 2019], [""Colorado State Board of Education"", 2001, 2007]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Anna Paulina Luna,FL,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Gavin Newsom,CA,"[[""Lieutenant Governor of California"", 2011, 2019], [""Mayor of San Francisco"", 2004, 2011]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Nicole Malliotakis,NY,"[[""New York State Assembly"", 2011, 2021]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Markwayne Mullin,OK,"[[""U.S. House Oklahoma"", 2013, 2023]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Marie Gluesenkamp Perez,WA,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Jahana Hayes,CT,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Richard Blumenthal,CT,"[[""Connecticut Attorney General"", 1991, 2011], [""Connecticut Senate"", 1987, 1991], [""Connecticut House of Representatives"", 1985, 1987]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Andrew R. Garbarino,NY,"[[""New York State Assembly"", 2013, 2021]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Joseph D. Morelle,NY,"[[""New York State Assembly"", 1991, 2018]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Alex Padilla,CA,"[[""California Secretary of State"", 2015, 2021], [""California State Senate"", 2006, 2014], [""Los Angeles City Council"", 1999, 2006]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Adam B. Schiff,CA,"[[""U.S. House California"", 2001, 2024], [""California State Senate"", 1996, 2000]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Pete Ricketts,NE,"[[""Governor of Nebraska"", 2015, 2023]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Nick Begich,AK,[],Stage 3 hardcode (public bio record); leak-free tenure dates
